feature,importance
F3913,0.24949673647010706
F2686,0.19744420619826114
F3914,0.08973551963069348
F3908,0.06931677135803975
F261,0.02650435874793511
F2292,0.013486279471536754
F2480,0.00541388360938635
F3922,0.0021688166480861026
account_type_risk,0.0008969846647481905
F3887,0.00027476698947890286
F451,0.00026992330346109483
F3834,0.00020580328647641367
flow_slope,0.00012009181853311901
F3894,6.0222824450839596e-05
spend_receive_ratio,4.440892098500626e-16
F3836,4.440892098500626e-16
F3835,4.440892098500626e-16
F3837,4.440892098500626e-16
step_down_flag,4.440892098500626e-16
F3832,4.440892098500626e-16
F2481,4.440892098500626e-16
F2285,4.440892098500626e-16
F2482,4.440892098500626e-16
flow_consistency,4.440892098500626e-16
receiver_amount_interaction,3.552713678800501e-16
F453,3.552713678800501e-16
location_risk,2.6645352591003756e-16
occupation_risk,2.6645352591003756e-16
F3833,8.881784197001253e-17
F2483,8.881784197001253e-17
all_flow_positive,0.0
verified_shield,0.0
age_interaction_risk,0.0
f3923_danger,0.0
F518_present,0.0
F448_group_absent,0.0
F515_present,0.0
F450,0.0
F2284,0.0
F142,0.0
F448,0.0
F3909,0.0
F3923,0.0
F3907,0.0
F3906,0.0
F3905,0.0
F3915,0.0
